outfit_id,gender,style,season,tags
72775,M,캐주얼,여름,"셔츠,여름,캐주얼"
72776,M,아메리칸 캐주얼,여름,"아메리칸캐주얼,반팔티셔츠,아메리칸 캐주얼,여름"
72777,M,캐주얼,여름,"앤더슨벨,여름,캐주얼,니트"
72779,M,스트릿,여름,"그레이,스트릿,스웨터,여름,하프집업,아디다스,프라다"
72781,F,스트릿,여름,"스트릿,데우스엑스마키나,여름,반팔티셔츠,프라다"
72784,F,로맨틱,여름,"숄더백,로맨틱,여름,버버리"
72792,M,스트릿,여름,"팬츠,스트릿,카모,여름"
72798,M,스트릿,여름,"스트릿,여름,치노팬츠"
72799,F,걸리시,여름,"프라다,셔츠,여름,걸리시"
72800,M,스트릿,여름,"샐먼피스톨즈,스트릿,여름,버킷햇"
72802,M,캐주얼,여름,"셔츠,여름,캐주얼"
72803,M,캐주얼,여름,"셔츠,여름,캐주얼,꼼데가르송"
72807,F,캐주얼,여름,"데님팬츠,여름,캐주얼,패치워크"
72816,F,걸리시,여름,"여름,원피스,걸리시"
72820,M,스트릿,여름,"나이키,스트릿,여름,베이프,반팔티셔츠"
72822,M,스트릿,여름,"컨버스,스트릿,여름,카모팬츠"
72827,M,캐주얼,여름,"셔츠,여름,캐주얼,하와이안"
72828,M,스트릿,여름,"나이키,스트릿,여름,타이다이"
72829,F,스트릿,여름,"피케티셔츠,스트릿,여름,오베이"
72830,F,걸리시,여름,"여름,원피스,걸리시"
72831,M,캐주얼,여름,"베스트,캐주얼,여름"
72833,M,스트릿,여름,"스트릿,슈프림,스트라이프셔츠,여름"
72835,F,스트릿,여름,"반팔셔츠,스트릿,여름"
72837,F,캐주얼,여름,"체크팬츠,나이키,여름,캐주얼"
